{Appliances} -> {Accessories} (conf: 0.133, supp: 0.012, lift: 0.928, conv: 0.988)
{Fasteners} -> {Appliances} (conf: 0.098, supp: 0.004, lift: 1.085, conv: 1.008)
{Furnishings} -> {Appliances} (conf: 0.091, supp: 0.016, lift: 1.013, conv: 1.001)
{Appliances} -> {Furnishings} (conf: 0.177, supp: 0.016, lift: 1.013, conv: 1.003)
{Labels} -> {Appliances} (conf: 0.061, supp: 0.004, lift: 0.674, conv: 0.969)
{Paper} -> {Appliances} (conf: 0.092, supp: 0.022, lift: 1.016, conv: 1.002)
{Appliances} -> {Paper} (conf: 0.242, supp: 0.022, lift: 1.016, conv: 1.005)
{Phones} -> {Appliances} (conf: 0.093, supp: 0.015, lift: 1.037, conv: 1.004)
{Appliances} -> {Phones} (conf: 0.169, supp: 0.015, lift: 1.037, conv: 1.007)
{Storage} -> {Appliances} (conf: 0.072, supp: 0.011, lift: 0.800, conv: 0.981)
{Appliances} -> {Storage} (conf: 0.124, supp: 0.011, lift: 0.800, conv: 0.965)
{Supplies} -> {Appliances} (conf: 0.128, supp: 0.005, lift: 1.425, conv: 1.044)
{Tables} -> {Appliances} (conf: 0.098, supp: 0.006, lift: 1.085, conv: 1.009)
{Appliances} -> {Tables} (conf: 0.067, supp: 0.006, lift: 1.085, conv: 1.006)
{Binders} -> {Art} (conf: 0.114, supp: 0.030, lift: 0.781, conv: 0.964)
{Art} -> {Binders} (conf: 0.205, supp: 0.030, lift: 0.781, conv: 0.928)
{Bookcases} -> {Art} (conf: 0.152, supp: 0.007, lift: 1.040, conv: 1.007)
{Chairs} -> {Art} (conf: 0.142, supp: 0.016, lift: 0.975, conv: 0.996)
{Art} -> {Chairs} (conf: 0.112, supp: 0.016, lift: 0.975, conv: 0.997)
{Envelopes} -> {Art} (conf: 0.108, supp: 0.005, lift: 0.743, conv: 0.958)
{Fasteners} -> {Art} (conf: 0.140, supp: 0.006, lift: 0.956, conv: 0.993)
{Furnishings} -> {Art} (conf: 0.114, supp: 0.020, lift: 0.781, conv: 0.964)
{Art} -> {Furnishings} (conf: 0.137, supp: 0.020, lift: 0.781, conv: 0.956)
{Labels} -> {Art} (conf: 0.136, supp: 0.009, lift: 0.931, conv: 0.988)
{Art} -> {Labels} (conf: 0.064, supp: 0.009, lift: 0.931, conv: 0.995)
{Machines} -> {Art} (conf: 0.107, supp: 0.002, lift: 0.734, conv: 0.957)
{Paper} -> {Art} (conf: 0.126, supp: 0.030, lift: 0.863, conv: 0.977)
{Art} -> {Paper} (conf: 0.205, supp: 0.030, lift: 0.863, conv: 0.959)
{Phones} -> {Art} (conf: 0.152, supp: 0.025, lift: 1.044, conv: 1.008)
{Art} -> {Phones} (conf: 0.170, supp: 0.025, lift: 1.044, conv: 1.009)
{Storage} -> {Art} (conf: 0.129, supp: 0.020, lift: 0.882, conv: 0.980)
{Art} -> {Storage} (conf: 0.137, supp: 0.020, lift: 0.882, conv: 0.979)
{Supplies} -> {Art} (conf: 0.155, supp: 0.006, lift: 1.063, conv: 1.011)
{Tables} -> {Art} (conf: 0.124, supp: 0.008, lift: 0.848, conv: 0.975)
{Bookcases} -> {Binders} (conf: 0.250, supp: 0.011, lift: 0.952, conv: 0.983)
{Chairs} -> {Binders} (conf: 0.207, supp: 0.024, lift: 0.786, conv: 0.929)
{Binders} -> {Chairs} (conf: 0.090, supp: 0.024, lift: 0.786, conv: 0.973)
{Copiers} -> {Binders} (conf: 0.279, supp: 0.004, lift: 1.064, conv: 1.023)
{Envelopes} -> {Binders} (conf: 0.217, supp: 0.011, lift: 0.825, conv: 0.941)
{Fasteners} -> {Binders} (conf: 0.288, supp: 0.012, lift: 1.098, conv: 1.036)
{Furnishings} -> {Binders} (conf: 0.226, supp: 0.040, lift: 0.859, conv: 0.952)
{Binders} -> {Furnishings} (conf: 0.150, supp: 0.040, lift: 0.859, conv: 0.971)
{Labels} -> {Binders} (conf: 0.237, supp: 0.016, lift: 0.902, conv: 0.966)
{Binders} -> {Labels} (conf: 0.062, supp: 0.016, lift: 0.902, conv: 0.993)
{Machines} -> {Binders} (conf: 0.268, supp: 0.006, lift: 1.020, conv: 1.007)
{Paper} -> {Binders} (conf: 0.231, supp: 0.055, lift: 0.879, conv: 0.959)
{Binders} -> {Paper} (conf: 0.209, supp: 0.055, lift: 0.879, conv: 0.964)
{Phones} -> {Binders} (conf: 0.244, supp: 0.040, lift: 0.931, conv: 0.976)
{Binders} -> {Phones} (conf: 0.151, supp: 0.040, lift: 0.931, conv: 0.987)
{Storage} -> {Binders} (conf: 0.256, supp: 0.040, lift: 0.975, conv: 0.991)
{Binders} -> {Storage} (conf: 0.151, supp: 0.040, lift: 0.975, conv: 0.995)
{Supplies} -> {Binders} (conf: 0.230, supp: 0.009, lift: 0.875, conv: 0.957)
{Tables} -> {Binders} (conf: 0.231, supp: 0.014, lift: 0.880, conv: 0.959)
{Bookcases} -> {Chairs} (conf: 0.094, supp: 0.004, lift: 0.815, conv: 0.977)
{Bookcases} -> {Furnishings} (conf: 0.134, supp: 0.006, lift: 0.765, conv: 0.952)
{Labels} -> {Bookcases} (conf: 0.061, supp: 0.004, lift: 1.357, conv: 1.017)
{Bookcases} -> {Labels} (conf: 0.094, supp: 0.004, lift: 1.357, conv: 1.027)
{Bookcases} -> {Paper} (conf: 0.214, supp: 0.010, lift: 0.901, conv: 0.970)
{Bookcases} -> {Phones} (conf: 0.188, supp: 0.008, lift: 1.154, conv: 1.031)
{Bookcases} -> {Storage} (conf: 0.165, supp: 0.007, lift: 1.065, conv: 1.012)
{Envelopes} -> {Chairs} (conf: 0.116, supp: 0.006, lift: 1.013, conv: 1.002)
{Fasteners} -> {Chairs} (conf: 0.121, supp: 0.005, lift: 1.052, conv: 1.007)
{Furnishings} -> {Chairs} (conf: 0.113, supp: 0.020, lift: 0.982, conv: 0.998)
{Chairs} -> {Furnishings} (conf: 0.172, supp: 0.020, lift: 0.982, conv: 0.996)
{Labels} -> {Chairs} (conf: 0.104, supp: 0.007, lift: 0.905, conv: 0.988)
{Chairs} -> {Labels} (conf: 0.062, supp: 0.007, lift: 0.905, conv: 0.993)
{Machines} -> {Chairs} (conf: 0.152, supp: 0.003, lift: 1.320, conv: 1.043)
{Paper} -> {Chairs} (conf: 0.112, supp: 0.027, lift: 0.971, conv: 0.996)
{Chairs} -> {Paper} (conf: 0.231, supp: 0.027, lift: 0.971, conv: 0.991)
{Phones} -> {Chairs} (conf: 0.109, supp: 0.018, lift: 0.951, conv: 0.994)
{Chairs} -> {Phones} (conf: 0.155, supp: 0.018, lift: 0.951, conv: 0.991)
{Storage} -> {Chairs} (conf: 0.107, supp: 0.017, lift: 0.929, conv: 0.991)
{Chairs} -> {Storage} (conf: 0.144, supp: 0.017, lift: 0.929, conv: 0.987)
{Supplies} -> {Chairs} (conf: 0.102, supp: 0.004, lift: 0.884, conv: 0.985)
{Tables} -> {Chairs} (conf: 0.101, supp: 0.006, lift: 0.878, conv: 0.984)
{Copiers} -> {Furnishings} (conf: 0.176, supp: 0.002, lift: 1.008, conv: 1.002)
{Copiers} -> {Paper} (conf: 0.294, supp: 0.004, lift: 1.237, conv: 1.080)
{Copiers} -> {Phones} (conf: 0.162, supp: 0.002, lift: 0.995, conv: 0.999)
{Copiers} -> {Storage} (conf: 0.176, supp: 0.002, lift: 1.138, conv: 1.026)
{Envelopes} -> {Furnishings} (conf: 0.129, supp: 0.006, lift: 0.734, conv: 0.947)
{Envelopes} -> {Paper} (conf: 0.229, supp: 0.011, lift: 0.963, conv: 0.989)
{Envelopes} -> {Phones} (conf: 0.165, supp: 0.008, lift: 1.013, conv: 1.003)
{Envelopes} -> {Storage} (conf: 0.153, supp: 0.008, lift: 0.984, conv: 0.997)
{Fasteners} -> {Furnishings} (conf: 0.191, supp: 0.008, lift: 1.089, conv: 1.019)
{Fasteners} -> {Labels} (conf: 0.070, supp: 0.003, lift: 1.010, conv: 1.001)
{Fasteners} -> {Paper} (conf: 0.274, supp: 0.012, lift: 1.154, conv: 1.051)
{Fasteners} -> {Phones} (conf: 0.172, supp: 0.007, lift: 1.059, conv: 1.012)
{Fasteners} -> {Storage} (conf: 0.172, supp: 0.007, lift: 1.109, conv: 1.021)
{Labels} -> {Furnishings} (conf: 0.165, supp: 0.011, lift: 0.941, conv: 0.988)
{Furnishings} -> {Labels} (conf: 0.065, supp: 0.011, lift: 0.941, conv: 0.996)
{Machines} -> {Furnishings} (conf: 0.241, supp: 0.005, lift: 1.377, conv: 1.087)
{Paper} -> {Furnishings} (conf: 0.149, supp: 0.035, lift: 0.849, conv: 0.969)
{Furnishings} -> {Paper} (conf: 0.202, supp: 0.035, lift: 0.849, conv: 0.955)
{Phones} -> {Furnishings} (conf: 0.182, supp: 0.030, lift: 1.038, conv: 1.008)
{Furnishings} -> {Phones} (conf: 0.169, supp: 0.030, lift: 1.038, conv: 1.008)
{Storage} -> {Furnishings} (conf: 0.178, supp: 0.028, lift: 1.014, conv: 1.003)
{Furnishings} -> {Storage} (conf: 0.157, supp: 0.028, lift: 1.014, conv: 1.003)
{Supplies} -> {Furnishings} (conf: 0.166, supp: 0.006, lift: 0.947, conv: 0.989)
{Tables} -> {Furnishings} (conf: 0.143, supp: 0.009, lift: 0.819, conv: 0.963)
{Paper} -> {Labels} (conf: 0.067, supp: 0.016, lift: 0.972, conv: 0.998)
{Labels} -> {Paper} (conf: 0.231, supp: 0.016, lift: 0.972, conv: 0.991)
{Phones} -> {Labels} (conf: 0.071, supp: 0.012, lift: 1.032, conv: 1.002)
{Labels} -> {Phones} (conf: 0.168, supp: 0.012, lift: 1.032, conv: 1.006)
{Storage} -> {Labels} (conf: 0.079, supp: 0.012, lift: 1.137, conv: 1.010)
{Labels} -> {Storage} (conf: 0.176, supp: 0.012, lift: 1.137, conv: 1.026)
{Supplies} -> {Labels} (conf: 0.096, supp: 0.004, lift: 1.393, conv: 1.030)
{Machines} -> {Paper} (conf: 0.250, supp: 0.006, lift: 1.051, conv: 1.016)
{Machines} -> {Phones} (conf: 0.196, supp: 0.004, lift: 1.209, conv: 1.042)
{Machines} -> {Storage} (conf: 0.188, supp: 0.004, lift: 1.209, conv: 1.040)
{Phones} -> {Paper} (conf: 0.215, supp: 0.035, lift: 0.904, conv: 0.971)
{Paper} -> {Phones} (conf: 0.147, supp: 0.035, lift: 0.904, conv: 0.982)
{Storage} -> {Paper} (conf: 0.229, supp: 0.036, lift: 0.963, conv: 0.989)
{Paper} -> {Storage} (conf: 0.149, supp: 0.036, lift: 0.963, conv: 0.993)
{Supplies} -> {Paper} (conf: 0.241, supp: 0.009, lift: 1.012, conv: 1.004)
{Tables} -> {Paper} (conf: 0.176, supp: 0.011, lift: 0.740, conv: 0.925)
{Storage} -> {Phones} (conf: 0.151, supp: 0.023, lift: 0.927, conv: 0.986)
{Phones} -> {Storage} (conf: 0.144, supp: 0.023, lift: 0.927, conv: 0.987)
{Supplies} -> {Phones} (conf: 0.118, supp: 0.004, lift: 0.724, conv: 0.949)
{Tables} -> {Phones} (conf: 0.169, supp: 0.010, lift: 1.042, conv: 1.008)
{Phones} -> {Tables} (conf: 0.064, supp: 0.010, lift: 1.042, conv: 1.003)
{Supplies} -> {Storage} (conf: 0.166, supp: 0.006, lift: 1.069, conv: 1.013)
{Tables} -> {Storage} (conf: 0.156, supp: 0.010, lift: 1.008, conv: 1.001)
{Storage} -> {Tables} (conf: 0.062, supp: 0.010, lift: 1.008, conv: 1.001)
{Appliances, Binders} -> {Accessories} (conf: 0.162, supp: 0.004, lift: 1.127, conv: 1.022)
{Accessories, Binders} -> {Appliances} (conf: 0.130, supp: 0.004, lift: 1.449, conv: 1.046)
{Accessories, Appliances} -> {Binders} (conf: 0.350, supp: 0.004, lift: 1.332, conv: 1.134)
{Appliances, Furnishings} -> {Accessories} (conf: 0.150, supp: 0.002, lift: 1.046, conv: 1.008)
{Accessories, Furnishings} -> {Appliances} (conf: 0.104, supp: 0.002, lift: 1.159, conv: 1.016)
{Accessories, Appliances} -> {Furnishings} (conf: 0.200, supp: 0.002, lift: 1.142, conv: 1.031)
{Appliances, Paper} -> {Accessories} (conf: 0.211, supp: 0.005, lift: 1.472, conv: 1.086)
{Accessories, Paper} -> {Appliances} (conf: 0.150, supp: 0.005, lift: 1.670, conv: 1.071)
{Accessories, Appliances} -> {Paper} (conf: 0.383, supp: 0.005, lift: 1.612, conv: 1.236)
{Appliances, Phones} -> {Accessories} (conf: 0.158, supp: 0.002, lift: 1.102, conv: 1.017)
{Accessories, Phones} -> {Appliances} (conf: 0.103, supp: 0.002, lift: 1.149, conv: 1.015)
{Accessories, Appliances} -> {Phones} (conf: 0.200, supp: 0.002, lift: 1.231, conv: 1.047)
{Art, Binders} -> {Accessories} (conf: 0.180, supp: 0.005, lift: 1.256, conv: 1.045)
{Accessories, Binders} -> {Art} (conf: 0.168, supp: 0.005, lift: 1.149, conv: 1.026)
{Accessories, Art} -> {Binders} (conf: 0.303, supp: 0.005, lift: 1.155, conv: 1.058)
{Art, Chairs} -> {Accessories} (conf: 0.171, supp: 0.003, lift: 1.191, conv: 1.033)
{Accessories, Chairs} -> {Art} (conf: 0.219, supp: 0.003, lift: 1.499, conv: 1.093)
{Accessories, Art} -> {Chairs} (conf: 0.157, supp: 0.003, lift: 1.368, conv: 1.050)
{Art, Furnishings} -> {Accessories} (conf: 0.170, supp: 0.003, lift: 1.186, conv: 1.032)
{Accessories, Furnishings} -> {Art} (conf: 0.148, supp: 0.003, lift: 1.013, conv: 1.002)
{Accessories, Art} -> {Furnishings} (conf: 0.191, supp: 0.003, lift: 1.091, conv: 1.020)
{Art, Paper} -> {Accessories} (conf: 0.193, supp: 0.006, lift: 1.349, conv: 1.062)
{Accessories, Paper} -> {Art} (conf: 0.190, supp: 0.006, lift: 1.299, conv: 1.054)
{Accessories, Art} -> {Paper} (conf: 0.326, supp: 0.006, lift: 1.370, conv: 1.131)
{Art, Phones} -> {Accessories} (conf: 0.121, supp: 0.003, lift: 0.844, conv: 0.975)
{Accessories, Phones} -> {Art} (conf: 0.129, supp: 0.003, lift: 0.886, conv: 0.981)
{Accessories, Art} -> {Phones} (conf: 0.169, supp: 0.003, lift: 1.037, conv: 1.007)
{Art, Storage} -> {Accessories} (conf: 0.140, supp: 0.003, lift: 0.977, conv: 0.996)
{Accessories, Storage} -> {Art} (conf: 0.136, supp: 0.003, lift: 0.931, conv: 0.988)
{Accessories, Art} -> {Storage} (conf: 0.157, supp: 0.003, lift: 1.014, conv: 1.003)
{Binders, Chairs} -> {Accessories} (conf: 0.134, supp: 0.003, lift: 0.938, conv: 0.990)
{Accessories, Chairs} -> {Binders} (conf: 0.250, supp: 0.003, lift: 0.952, conv: 0.983)
{Accessories, Binders} -> {Chairs} (conf: 0.099, supp: 0.003, lift: 0.864, conv: 0.983)
{Binders, Fasteners} -> {Accessories} (conf: 0.177, supp: 0.002, lift: 1.238, conv: 1.041)
{Accessories, Fasteners} -> {Binders} (conf: 0.407, supp: 0.002, lift: 1.551, conv: 1.244)
{Accessories, Binders} -> {Fasteners} (conf: 0.068, supp: 0.002, lift: 1.592, conv: 1.027)
{Binders, Furnishings} -> {Accessories} (conf: 0.162, supp: 0.006, lift: 1.127, conv: 1.022)
{Accessories, Furnishings} -> {Binders} (conf: 0.278, supp: 0.006, lift: 1.059, conv: 1.022)
{Accessories, Binders} -> {Furnishings} (conf: 0.199, supp: 0.006, lift: 1.135, conv: 1.030)
{Binders, Labels} -> {Accessories} (conf: 0.207, supp: 0.003, lift: 1.446, conv: 1.081)
{Accessories, Labels} -> {Binders} (conf: 0.362, supp: 0.003, lift: 1.377, conv: 1.155)
{Accessories, Binders} -> {Labels} (conf: 0.106, supp: 0.003, lift: 1.529, conv: 1.041)
{Binders, Paper} -> {Accessories} (conf: 0.138, supp: 0.008, lift: 0.964, conv: 0.994)
{Accessories, Paper} -> {Binders} (conf: 0.248, supp: 0.008, lift: 0.945, conv: 0.981)
{Accessories, Binders} -> {Paper} (conf: 0.236, supp: 0.008, lift: 0.993, conv: 0.998)
{Binders, Phones} -> {Accessories} (conf: 0.181, supp: 0.007, lift: 1.262, conv: 1.046)
{Accessories, Phones} -> {Binders} (conf: 0.310, supp: 0.007, lift: 1.181, conv: 1.069)
{Accessories, Binders} -> {Phones} (conf: 0.224, supp: 0.007, lift: 1.376, conv: 1.079)
{Binders, Storage} -> {Accessories} (conf: 0.201, supp: 0.008, lift: 1.402, conv: 1.072)
{Accessories, Storage} -> {Binders} (conf: 0.388, supp: 0.008, lift: 1.478, conv: 1.205)
{Accessories, Binders} -> {Storage} (conf: 0.248, supp: 0.008, lift: 1.602, conv: 1.124)
{Binders, Tables} -> {Accessories} (conf: 0.197, supp: 0.003, lift: 1.376, conv: 1.067)
{Accessories, Tables} -> {Binders} (conf: 0.318, supp: 0.003, lift: 1.211, conv: 1.081)
{Accessories, Binders} -> {Tables} (conf: 0.087, supp: 0.003, lift: 1.419, conv: 1.028)
{Chairs, Furnishings} -> {Accessories} (conf: 0.141, supp: 0.003, lift: 0.987, conv: 0.998)
{Accessories, Furnishings} -> {Chairs} (conf: 0.122, supp: 0.003, lift: 1.059, conv: 1.008)
{Accessories, Chairs} -> {Furnishings} (conf: 0.219, supp: 0.003, lift: 1.249, conv: 1.056)
{Chairs, Paper} -> {Accessories} (conf: 0.180, supp: 0.005, lift: 1.259, conv: 1.045)
{Accessories, Paper} -> {Chairs} (conf: 0.157, supp: 0.005, lift: 1.364, conv: 1.050)
{Accessories, Chairs} -> {Paper} (conf: 0.375, supp: 0.005, lift: 1.577, conv: 1.220)
{Chairs, Phones} -> {Accessories} (conf: 0.157, supp: 0.003, lift: 1.097, conv: 1.017)
{Accessories, Phones} -> {Chairs} (conf: 0.121, supp: 0.003, lift: 1.050, conv: 1.006)
{Accessories, Chairs} -> {Phones} (conf: 0.219, supp: 0.003, lift: 1.346, conv: 1.072)
{Chairs, Storage} -> {Accessories} (conf: 0.169, supp: 0.003, lift: 1.177, conv: 1.030)
{Accessories, Storage} -> {Chairs} (conf: 0.136, supp: 0.003, lift: 1.182, conv: 1.024)
{Accessories, Chairs} -> {Storage} (conf: 0.219, supp: 0.003, lift: 1.410, conv: 1.081)
{Furnishings, Labels} -> {Accessories} (conf: 0.193, supp: 0.002, lift: 1.346, conv: 1.062)
{Accessories, Labels} -> {Furnishings} (conf: 0.234, supp: 0.002, lift: 1.337, conv: 1.077)
{Accessories, Furnishings} -> {Labels} (conf: 0.096, supp: 0.002, lift: 1.385, conv: 1.029)
{Furnishings, Paper} -> {Accessories} (conf: 0.186, supp: 0.007, lift: 1.301, conv: 1.053)
{Accessories, Paper} -> {Furnishings} (conf: 0.216, supp: 0.007, lift: 1.232, conv: 1.052)
{Accessories, Furnishings} -> {Paper} (conf: 0.287, supp: 0.007, lift: 1.207, conv: 1.069)
{Furnishings, Phones} -> {Accessories} (conf: 0.196, supp: 0.006, lift: 1.367, conv: 1.065)
{Accessories, Phones} -> {Furnishings} (conf: 0.250, supp: 0.006, lift: 1.428, conv: 1.100)
{Accessories, Furnishings} -> {Phones} (conf: 0.252, supp: 0.006, lift: 1.552, conv: 1.120)
{Furnishings, Storage} -> {Accessories} (conf: 0.138, supp: 0.004, lift: 0.961, conv: 0.993)
{Accessories, Storage} -> {Furnishings} (conf: 0.184, supp: 0.004, lift: 1.054, conv: 1.012)
{Accessories, Furnishings} -> {Storage} (conf: 0.165, supp: 0.004, lift: 1.065, conv: 1.012)
{Labels, Paper} -> {Accessories} (conf: 0.212, supp: 0.003, lift: 1.482, conv: 1.088)
{Accessories, Paper} -> {Labels} (conf: 0.111, supp: 0.003, lift: 1.609, conv: 1.047)
{Accessories, Labels} -> {Paper} (conf: 0.362, supp: 0.003, lift: 1.521, conv: 1.194)
{Labels, Phones} -> {Accessories} (conf: 0.207, supp: 0.002, lift: 1.443, conv: 1.080)
{Accessories, Phones} -> {Labels} (conf: 0.103, supp: 0.002, lift: 1.498, conv: 1.038)
{Accessories, Labels} -> {Phones} (conf: 0.255, supp: 0.002, lift: 1.571, conv: 1.125)
{Paper, Phones} -> {Accessories} (conf: 0.183, supp: 0.006, lift: 1.276, conv: 1.048)
{Accessories, Phones} -> {Paper} (conf: 0.276, supp: 0.006, lift: 1.160, conv: 1.053)
{Accessories, Paper} -> {Phones} (conf: 0.209, supp: 0.006, lift: 1.287, conv: 1.059)
{Paper, Storage} -> {Accessories} (conf: 0.169, supp: 0.006, lift: 1.176, conv: 1.030)
{Accessories, Storage} -> {Paper} (conf: 0.291, supp: 0.006, lift: 1.225, conv: 1.075)
{Accessories, Paper} -> {Storage} (conf: 0.196, supp: 0.006, lift: 1.264, conv: 1.051)
{Paper, Tables} -> {Accessories} (conf: 0.259, supp: 0.003, lift: 1.809, conv: 1.156)
{Accessories, Tables} -> {Paper} (conf: 0.318, supp: 0.003, lift: 1.338, conv: 1.118)
{Accessories, Paper} -> {Tables} (conf: 0.092, supp: 0.003, lift: 1.493, conv: 1.033)
{Phones, Storage} -> {Accessories} (conf: 0.188, supp: 0.004, lift: 1.312, conv: 1.055)
{Accessories, Storage} -> {Phones} (conf: 0.214, supp: 0.004, lift: 1.314, conv: 1.065)
{Accessories, Phones} -> {Storage} (conf: 0.190, supp: 0.004, lift: 1.223, conv: 1.043)
{Art, Binders} -> {Appliances} (conf: 0.133, supp: 0.004, lift: 1.481, conv: 1.050)
{Appliances, Binders} -> {Art} (conf: 0.154, supp: 0.004, lift: 1.054, conv: 1.009)
{Appliances, Art} -> {Binders} (conf: 0.339, supp: 0.004, lift: 1.290, conv: 1.115)
{Art, Chairs} -> {Appliances} (conf: 0.171, supp: 0.003, lift: 1.896, conv: 1.097)
{Appliances, Chairs} -> {Art} (conf: 0.298, supp: 0.003, lift: 2.041, conv: 1.216)
{Appliances, Art} -> {Chairs} (conf: 0.237, supp: 0.003, lift: 2.064, conv: 1.160)
{Art, Furnishings} -> {Appliances} (conf: 0.130, supp: 0.003, lift: 1.444, conv: 1.046)
{Appliances, Furnishings} -> {Art} (conf: 0.163, supp: 0.003, lift: 1.113, conv: 1.020)
{Appliances, Art} -> {Furnishings} (conf: 0.220, supp: 0.003, lift: 1.258, conv: 1.058)
{Art, Paper} -> {Appliances} (conf: 0.107, supp: 0.003, lift: 1.185, conv: 1.019)
{Appliances, Paper} -> {Art} (conf: 0.147, supp: 0.003, lift: 1.006, conv: 1.001)
{Appliances, Art} -> {Paper} (conf: 0.271, supp: 0.003, lift: 1.141, conv: 1.046)
{Art, Phones} -> {Appliances} (conf: 0.129, supp: 0.003, lift: 1.433, conv: 1.045)
{Appliances, Phones} -> {Art} (conf: 0.211, supp: 0.003, lift: 1.443, conv: 1.082)
{Appliances, Art} -> {Phones} (conf: 0.271, supp: 0.003, lift: 1.669, conv: 1.149)
{Art, Storage} -> {Appliances} (conf: 0.140, supp: 0.003, lift: 1.555, conv: 1.058)
{Appliances, Storage} -> {Art} (conf: 0.250, supp: 0.003, lift: 1.713, conv: 1.139)
{Appliances, Art} -> {Storage} (conf: 0.237, supp: 0.003, lift: 1.530, conv: 1.108)
{Binders, Chairs} -> {Appliances} (conf: 0.143, supp: 0.003, lift: 1.587, conv: 1.062)
{Appliances, Chairs} -> {Binders} (conf: 0.362, supp: 0.003, lift: 1.377, conv: 1.155)
{Appliances, Binders} -> {Chairs} (conf: 0.131, supp: 0.003, lift: 1.137, conv: 1.018)
{Binders, Furnishings} -> {Appliances} (conf: 0.172, supp: 0.007, lift: 1.907, conv: 1.099)
{Appliances, Furnishings} -> {Binders} (conf: 0.425, supp: 0.007, lift: 1.618, conv: 1.282)
{Appliances, Binders} -> {Furnishings} (conf: 0.262, supp: 0.007, lift: 1.494, conv: 1.117)
{Appliances} -> {Binders, Furnishings} (conf: 0.075, supp: 0.007, lift: 1.907, conv: 1.039)
{Binders, Paper} -> {Appliances} (conf: 0.156, supp: 0.009, lift: 1.737, conv: 1.079)
{Appliances, Paper} -> {Binders} (conf: 0.394, supp: 0.009, lift: 1.502, conv: 1.218)
{Appliances, Binders} -> {Paper} (conf: 0.331, supp: 0.009, lift: 1.391, conv: 1.139)
{Appliances} -> {Binders, Paper} (conf: 0.095, supp: 0.009, lift: 1.737, conv: 1.045)
{Binders, Phones} -> {Appliances} (conf: 0.121, supp: 0.005, lift: 1.339, conv: 1.035)
{Appliances, Phones} -> {Binders} (conf: 0.316, supp: 0.005, lift: 1.202, conv: 1.078)
{Appliances, Binders} -> {Phones} (conf: 0.185, supp: 0.005, lift: 1.136, conv: 1.027)
{Binders, Storage} -> {Appliances} (conf: 0.151, supp: 0.006, lift: 1.674, conv: 1.071)
{Appliances, Storage} -> {Binders} (conf: 0.536, supp: 0.006, lift: 2.039, conv: 1.588)
